metric,N,median,p25,p75,p5,p95
R1_R2_EOS2,1221,0.9434,0.8140,0.9888,0.2024,0.9996
R1_R2_EOS3,1221,0.9415,0.8281,0.9872,0.5033,0.9995
R1_NRMSE_EOS2,1221,6.3004,2.6642,11.6450,0.5236,27.8831
R1_NRMSE_EOS3,1221,6.4010,2.9524,11.0567,0.5627,20.1890
R2_R2_EOS2,571,0.6255,0.2704,0.8138,-0.9208,0.9396
R2_R2_EOS3,571,0.9390,0.8206,0.9864,0.4424,0.9997
R2_NRMSE_EOS2,571,15.4234,10.7028,23.1182,5.9061,38.6891
R2_NRMSE_EOS3,571,6.3612,2.7196,10.9897,0.4633,21.1247
All_R2_EOS2,1792,0.8767,0.6391,0.9761,-0.5639,0.9991
All_R2_EOS3,1792,0.9407,0.8269,0.9872,0.4794,0.9996
All_NRMSE_EOS2,1792,9.2047,4.2106,16.1834,0.7909,35.0545
All_NRMSE_EOS3,1792,6.3889,2.8254,11.0313,0.5162,20.5923
