# Key findings from Nishiyama/Murata group papers
# For EOS-thermal validation
#
finding,detail,implication_for_EOS,source
kd_temperature_independent,kd=0.20±0.01_across_10-34C,confirms_kd_is_photophysical_not_enzymatic,Allakhverdiev2004_Table1
kr_temperature_dependent,kr_varies_0_to_0.01_min-1_10-34C,confirms_Arrhenius_model_for_kr,Allakhverdiev2004_Fig5C
kr_max_at_38C,optimal_repair_at_38C_not_growth_optimum_32C,Tm_repair>Tm_growth,Ueno2016_Fig3
denaturation_at_44C,repair_abolished_at_44C,Tm_D1repair~42-44C_for_Synechocystis,Ueno2016_Fig3
D1_synthesis_mirrors_repair,D1_rate_50pct_at_25C_0pct_at_10C,repair_bottleneck=D1_translation,Allakhverdiev2004_Fig8B
kd_unaffected_by_salt,NaCl_0.5-1.0M_no_effect_on_kd,kd_truly_only_light_dependent,Allakhverdiev2004_Table1
kd_unaffected_by_H2O2,H2O2_0.5-1.0mM_no_effect_on_kd,ROS_attacks_repair_not_damage,Allakhverdiev2004_Table1
ROS_inhibits_D1_translation,EF-G_and_EF-Tu_oxidation,molecular_target_of_ROS_on_repair,Nishiyama2001
ATP_required_for_repair,DCCD_abolishes_repair_completely,ATP_synthesis=rate_limiting_for_D1,Allakhverdiev2005
Calvin_cycle_enhances_repair,glycolaldehyde_blocks_38C_enhancement,CB_cycle_drives_ATP_and_reduces_ROS,Ueno2016
moderate_heat_reduces_ROS,ROS_lower_at_38C_than_30C,less_ROS=more_D1_translation=faster_repair,Ueno2016_Fig9
